city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
山东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,0.54,0.3,0.5,0.54,0.14,0.39,0.28,0.29,1.56,1.13,2.51,1.0,7.09,4.26,0.59,1.23,15.34,7.69,2.56,4.44,2.74,,27.3,12.54,5.6,6.56,2.14,1.23,1.75,0.59,2.5,0.26,,0.32,0.22,0.18,0.41,0.19,,0.09,0.67,0.14,0.22,0.14,0.32,0.14,0.53,0.26,0.26,0.35,0.07,0.31,0.03,0.08,0.13,0.19,,0.06,0.04,0.2,0.05,0.07,,,,0.12,0.18,0.03,0.04,,0.07,0.19,0.06,,0.01,0.08,0.04,,,0.08,,0.03,,0.03,,0.12,0.06,,0.21,,,0.32,,,0.46,,,,0.19,0.03,,0.25,1.15,0.32,0.61,0.76,0.5,0.24,0.19,0.28,0.16,0.52,0.18,0.12,1.64,1.78,2.87,1.67,1.17,2.78,1.34,1.23,0.11,2.72,1.89,0.35,0.52,0.31,0.1,0.47,0.14,0.29,1.0,1.17,0.14,0.15,0.03,1.12,0.14,1.22,0.97,3.0,1.9,2.35,1.7,5.25,0.82,1.09,1.01,0.77,0.72,0.93,1.73,5.36,1.49,0.98,1.07,2.72,3.96,1.75,1.82,0.4,0.28,0.22,0.18,0.03,0.27,0.16,0.06,,0.37,0.03,0.1,,0.08,0.08,,0.23,0.3,0.17,0.85,0.19,0.13,0.2,0.06,0.2,0.03,0.3,0.1,1.11,1.44,0.13,2.19,0.12,0.16,,1.48,3.6,1.75,11.44,0.5,0.24,0.57,0.75,1.37,1.7,3.15,,35.54,,0.99,0.7,0.28,1.38,4.12,0.73,3.0,2.12,0.58,0.99,1.94,7.39,0.35,14.39,1.06,0.74,1.18,0.88,0.57,1.05,1.36,0.64,0.27,1.0,1.37,0.19,1.4,0.58,1.95,1.02,1.72,1.09,1.1,0.82,0.47,0.71,0.81,7.78,0.44,0.37,0.49,0.19,0.21,0.21,0.82,2.45,2.73,0.43,0.14,0.72,0.57,,,3.79,2.58,1.9,16.13,1.77,1.81,2.24,14.67,9.87,2.17,4.02,1.63,3.64,34.06,20.49,2.13,2.79,11.79,3.93,2.51,2.02,2.11,1.55,10.52,1.2,1.6,13.83,2.47,4.69,2.91,1.55,1.54,0.81,0.55,1.89,1.19,1.23,1.56,0.67,1.77,1.03,1.79,0.93,2.33,0.2,0.1,1.66,,,,,,,0.55,0.12,0.38,0.29,1.0,0.17,1.0,0.1,5.63,9.49,0.43,0.24,0.11,0.26,0.56,0.09,,0.05,0.3,0.32,0.44,1.14,,,0.38,,,,0.61,,,1.1,0.27,0.04,,0.31,0.46,0.8,0.26,,,0.06,,0.09,0.75,0.34,0.66,,0.42,0.1,,
四川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石家庄市,1.93,2.47,,6.08,1.64,0.58,0.32,0.7,,0.23,,0.28,,,2.89,0.8,0.51,0.25,,0.17,0.27,0.16,0.24,0.18,0.27,0.24,2.26,0.72,0.38,0.48,0.35,,4.09,4.13,8.8,27.64,17.79,6.51,3.48,6.25,1.42,20.93,1.57,1.43,15.12,0.69,0.94,0.85,1.91,0.49,6.49,0.52,2.12,0.58,0.78,0.67,0.49,0.16,1.19,0.2,0.74,0.92,0.33,0.4,2.31,0.15,0.19,0.09,0.04,0.08,,0.07,0.11,0.06,0.01,0.05,0.14,0.22,0.37,0.04,0.08,0.03,0.12,0.14,0.1,0.07,0.23,,0.3,0.19,1.78,0.32,,,,0.15,0.74,0.22,,0.18,,0.13,,0.41,,,0.14,0.43,0.2,0.22,0.16,0.11,0.04,0.24,,,,,,,,,,,,0.13,0.1,0.08,0.08,0.14,0.05,,0.38,,0.06,0.07,0.09,0.13,0.14,,,0.1,,,,0.07,,,,,0.18,0.2,,,0.14,,0.15,,,,,0.66,0.65,1.29,0.37,1.19,0.46,0.97,0.44,0.67,0.29,0.29,0.46,0.68,1.75,1.74,2.96,0.29,0.18,0.12,0.07,0.18,0.64,0.46,0.46,0.25,0.33,0.17,0.1,0.28,0.3,0.13,0.21,0.24,0.22,,0.26,0.05,0.17,0.17,,0.16,0.08,0.13,0.04,0.18,,0.71,,,0.13,,,,,0.07,0.1,,,0.08,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,0.07,,0.11,0.08,0.17,,0.07,0.1,,,,,,,,,,0.1,,,0.07,0.02,0.03,,0.03,0.07,,,0.05,,0.04,0.02,0.04,,,,0.06,0.01,,,0.02,0.06,,,0.04,,0.04,0.25,,0.1,0.12,,0.07,0.05,0.05,0.06,0.01,,0.02,0.05,,0.19,0.03,0.05,,,0.09,,,,,,,0.17,0.12,0.1,0.16,0.27,0.21,0.48,4.05,0.39,,0.26,0.04,0.11,0.29,0.12,0.57,0.25,0.2,0.17,0.45,0.13,,0.22,,0.12,,,,,,,0.15,0.14,0.24,0.24,0.1,0.21,0.2,,,,,,,,,,,,,,
唐山市,1.43,9.25,,1.09,1.14,1.52,0.61,0.45,,,,,,,1.05,0.27,,,,,,,0.24,,,,,,,0.41,0.3,1.98,,17.81,0.88,0.84,1.56,3.86,14.54,3.85,1.46,1.17,0.14,1.46,0.6,0.25,0.24,0.19,0.36,0.2,0.32,0.22,0.89,0.32,0.42,0.5,2.21,0.51,0.31,0.1,0.22,1.05,0.06,0.05,0.66,0.15,0.3,0.2,0.15,0.2,0.22,0.39,0.55,0.31,0.12,0.24,0.03,1.33,1.33,0.12,0.27,0.14,0.12,0.14,0.1,0.05,0.13,0.14,0.16,0.24,0.29,,0.22,0.14,,0.07,0.74,0.15,0.38,,,,,0.07,0.1,,0.16,0.5,0.12,0.14,0.1,,0.1,,,,,,,,,,0.11,,,0.08,,,0.1,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.25,0.33,0.15,0.83,0.35,0.51,0.09,0.22,1.05,0.21,0.03,0.25,0.4,0.32,0.79,0.13,0.08,,0.07,0.05,0.12,,0.27,0.18,0.17,0.04,,0.08,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.03,,,1.42,0.03,,,,,,,,,,,,,,,,,,,,0.05,,,0.02,,0.19,0.02,,,,,,,,,,,,,0.22,,,,,0.14,,,,0.04,,0.14,,,,,,,,,,,,,,,,,,,0.17,0.16,0.08,,0.32,,,,,,,,0.12,,,,,,,
秦皇岛市,0.67,1.3,,0.14,0.38,4.22,0.46,0.5,,,,,,,0.27,,,,,,,,,,,,,,,,,0.95,10.68,,0.21,0.33,0.62,0.61,2.87,0.47,0.4,0.23,,0.2,0.12,,,0.13,0.04,,0.04,,0.02,0.06,0.1,0.22,0.51,0.25,0.18,0.1,0.22,0.15,0.13,,0.42,0.29,0.4,0.39,0.22,0.12,0.26,0.9,0.35,0.56,0.15,0.32,0.06,1.12,11.87,0.08,0.08,0.07,0.16,0.25,0.32,0.09,0.06,0.22,0.18,0.09,,,0.22,0.19,,0.39,,0.15,,0.15,0.9,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.11,0.11,,0.15,0.44,,,0.07,0.09,,0.2,0.07,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.16,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.07,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.04,,,0.06,,0.12,,,,,,,,,,0.14,,0.09,,,,,0.12,,,,,,,,,,,,,,,,,,
邯郸市,3.71,6.19,,6.23,1.24,0.89,0.27,0.58,0.2,0.62,,0.64,,0.27,5.35,5.25,0.49,0.35,,0.18,0.24,0.11,0.28,0.2,0.19,0.28,1.11,0.69,0.32,0.76,0.65,9.66,2.27,1.95,,25.11,3.75,1.64,0.98,2.16,2.17,3.03,0.88,0.85,2.66,11.22,4.24,0.43,3.17,0.54,1.55,1.96,3.23,0.37,0.93,0.36,0.37,0.12,1.1,0.2,0.17,0.72,0.13,0.1,0.12,0.24,0.38,0.14,0.15,0.33,0.07,0.14,0.17,,0.02,0.14,0.03,0.35,0.27,0.05,0.06,0.01,0.08,0.1,,0.05,,0.44,0.28,0.43,,,0.22,0.09,,0.07,,0.07,0.19,0.07,,0.18,0.21,1.09,0.13,0.29,0.25,0.76,0.24,0.42,1.25,0.08,0.33,0.41,,,,,0.18,,,0.23,,,0.17,0.14,0.74,0.15,0.14,0.13,0.18,,0.24,0.12,0.14,0.39,0.15,0.88,0.19,0.21,0.31,,,,0.1,,,,,,0.15,0.2,0.17,,,,0.15,0.16,,,,0.97,1.35,0.63,0.46,0.59,1.1,1.38,1.51,0.89,1.0,1.89,0.85,0.8,1.02,10.33,1.36,1.74,0.43,0.33,0.5,0.44,16.24,1.78,2.04,0.98,8.47,0.34,0.12,0.44,0.46,0.45,0.09,0.2,0.23,,0.1,0.25,,0.13,0.42,,0.44,,0.04,0.11,0.33,0.44,,,0.13,,,0.06,,0.25,0.09,0.13,0.03,0.05,,0.13,0.07,0.05,,,,0.07,,0.09,,,,0.05,,,,0.05,0.08,,,,,,,0.15,0.06,,,0.07,,,,,,,,,0.18,,,,,0.07,,,0.03,0.07,,0.08,0.1,0.04,0.02,0.06,0.09,0.04,0.05,0.09,0.08,,,,0.06,0.03,,0.04,0.06,0.04,0.03,0.07,0.19,0.12,0.06,,0.07,0.03,0.07,0.04,0.04,0.08,,0.03,0.06,0.05,,0.03,,,,0.13,,,,,,,0.14,0.12,0.26,0.14,0.53,0.17,0.86,1.47,0.49,,0.31,0.12,,0.12,0.29,,0.25,0.23,0.2,0.35,0.11,0.2,,,0.05,,0.42,0.09,0.18,,,0.11,0.38,0.16,0.21,0.15,0.28,0.17,,,,0.12,,,,,,,0.14,,,
