city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,13.9,32.0,5.27,3.31,4.08,3.52,5.08,0.42,0.54,0.26,2.09,0.57,0.79,3.88,3.65,1.2,2.47,0.26,0.35,2.52,0.37,0.85,1.02,0.48,1.19,3.13,2.03,0.94,0.95,4.25,5.36,7.51,5.93,4.36,2.88,22.4,24.57,25.49,3.82,57.5,5.63,0.97,4.7,1.98,1.74,1.15,1.14,0.92,1.56,1.12,3.77,0.58,1.93,1.53,0.58,2.12,1.96,0.44,1.06,0.95,3.13,0.65,2.28,0.25,1.05,1.3,0.9,1.08,1.44,1.88,1.82,1.1,1.41,0.38,0.58,0.52,1.73,2.81,0.73,1.58,0.53,0.78,1.08,1.03,0.91,0.91,2.94,1.59,1.82,2.9,1.58,0.56,0.86,2.43,1.4,0.66,2.72,3.52,0.59,,0.28,0.11,0.64,0.21,0.13,0.53,0.31,0.39,0.29,0.14,0.1,0.33,0.37,0.28,,0.72,,,0.16,,,0.11,0.28,0.15,0.41,0.9,1.1,0.92,0.53,0.44,0.35,0.83,0.33,1.23,0.48,0.62,1.65,0.34,0.17,0.69,0.29,0.13,0.35,0.39,0.09,0.05,0.2,0.07,0.35,0.54,0.15,0.22,,,0.19,0.42,0.41,0.17,0.21,0.2,1.53,0.82,0.82,1.37,0.63,1.68,0.77,0.6,1.22,1.97,0.38,0.14,0.9,2.05,1.81,0.89,1.91,0.41,0.84,0.92,0.84,2.04,0.77,1.03,0.79,0.85,0.62,0.22,1.31,4.16,0.69,2.81,1.52,1.24,,0.45,0.11,0.19,0.03,0.75,0.2,0.07,0.19,0.43,0.11,0.23,0.53,0.05,,0.34,0.63,0.08,0.47,0.11,0.52,0.93,1.1,0.29,1.47,0.6,1.4,1.22,0.59,0.13,,0.19,0.06,0.08,,,0.17,0.2,0.29,,0.02,0.26,0.06,0.43,0.08,,,0.03,0.04,0.14,0.11,0.06,0.28,,0.31,0.2,0.08,0.06,,,0.08,,0.18,0.16,0.33,1.0,,,0.29,0.16,0.05,0.09,0.01,0.09,0.17,0.07,0.03,0.15,0.08,0.13,0.06,0.08,0.07,0.54,0.32,0.07,,,0.44,0.15,0.62,0.07,0.06,1.54,0.06,0.02,0.12,0.07,0.18,0.06,0.09,,0.04,0.04,0.2,0.21,0.12,0.05,,0.2,0.19,0.03,,,0.49,,,,,,,0.77,1.39,3.46,0.71,2.93,1.21,2.22,0.53,1.77,1.74,0.46,0.07,0.67,0.15,1.48,0.3,0.77,0.33,0.29,0.83,0.26,1.42,1.3,0.13,0.52,,,0.17,,,,0.19,0.54,0.06,0.14,0.3,0.19,0.66,,,,0.55,,0.4,0.33,,1.92,2.13,0.95,0.1,0.26,
天津市,4.26,,14.77,1.86,1.1,1.62,0.89,1.35,,0.23,,0.18,0.23,,1.93,0.51,0.25,,,,0.78,0.21,,0.07,0.2,1.47,0.4,0.86,0.3,0.54,0.48,2.88,27.7,4.58,7.58,1.13,3.39,6.53,2.73,17.41,9.96,2.68,0.15,1.35,1.27,1.18,0.34,0.71,0.39,0.49,0.67,0.6,0.42,0.34,0.4,0.73,0.45,0.25,0.34,0.57,0.85,1.35,0.37,,0.88,0.22,0.54,0.21,0.52,0.59,0.94,0.38,0.33,0.7,0.29,0.48,0.23,0.8,2.24,0.14,0.55,0.1,0.42,0.57,0.2,0.17,0.07,0.51,0.44,0.72,1.29,0.63,0.75,0.15,,0.14,0.33,0.46,0.16,0.18,1.04,,,0.21,,,0.15,0.18,,0.5,,,,,0.14,,,,,,,,0.72,,,,0.09,0.06,,0.05,0.03,,,0.33,,0.13,0.03,,0.04,,,0.18,0.08,0.09,,,,,,,0.08,0.2,0.11,,,0.12,,,,,0.13,0.41,0.34,0.4,0.24,1.15,0.61,0.52,0.12,0.2,0.36,0.04,,0.26,2.25,0.94,1.41,0.55,0.1,0.1,0.17,,0.29,0.21,0.29,0.2,0.13,0.06,0.14,,0.26,0.25,0.2,0.17,0.06,,0.16,,0.06,,,,,0.05,0.04,,,,0.08,,,,,0.04,,,,,,,,,,0.08,,,,,0.09,,,0.07,0.06,,,,,,,,,,,0.04,,,0.05,,0.04,,0.15,,0.04,,0.13,,0.06,,,0.11,0.51,,,,,,,,0.08,,,,,,0.03,0.03,0.02,,0.07,0.02,,0.13,,0.04,,0.07,,,0.04,,0.02,,0.07,0.1,0.02,,0.03,,,0.03,,0.12,0.03,,,,,,,0.45,,,,,,,0.15,,0.27,0.15,0.16,,0.34,0.1,0.33,0.09,0.17,,,,0.44,0.22,0.09,0.09,0.64,0.29,,1.65,0.31,,,,,0.34,,,,0.23,0.12,0.8,0.14,,0.14,0.07,,,,,,0.1,0.16,,,,,0.1,,
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,0.42,0.42,0.44,1.0,0.28,0.92,1.07,1.55,,14.91,5.27,5.34,1.15,3.1,2.25,4.08,0.8,0.99,0.27,0.62,1.61,0.46,0.91,0.46,0.62,0.56,0.9,1.93,0.89,0.65,1.15,0.29,0.35,0.32,0.44,0.17,0.09,0.13,0.04,0.61,0.09,0.08,0.3,0.22,0.25,0.25,0.46,0.11,0.21,0.78,0.29,0.7,0.24,0.18,0.15,0.04,0.45,0.12,,,,0.11,0.09,0.07,0.12,0.21,0.79,0.26,0.56,0.34,0.34,0.07,0.26,0.51,0.11,0.1,0.11,0.12,0.03,0.3,0.31,0.17,0.07,0.5,0.62,0.08,,1.29,0.72,0.36,,,0.37,0.21,0.48,0.44,,0.39,0.47,0.24,,1.71,3.82,1.61,2.78,12.7,14.3,2.68,3.32,9.08,3.14,2.2,3.96,2.83,1.74,1.77,4.16,12.99,2.44,2.5,1.08,1.9,28.77,2.18,2.02,1.25,2.22,2.63,2.9,1.42,1.59,1.64,1.86,2.25,1.47,1.5,1.3,1.81,1.71,1.97,3.19,0.46,0.17,0.47,0.21,0.23,0.16,1.35,0.31,1.88,0.68,0.98,0.28,1.21,0.76,3.13,1.29,0.79,0.89,2.71,2.09,0.28,0.61,0.45,1.46,0.51,1.09,0.41,0.48,0.3,1.4,0.31,0.14,2.62,0.2,0.28,0.11,0.9,0.6,1.74,2.05,1.03,1.37,2.05,1.63,1.58,0.33,1.23,0.96,1.55,1.91,1.91,1.44,1.85,0.48,,0.25,0.78,0.19,0.16,0.16,,0.26,0.11,0.04,0.17,0.23,0.17,0.13,,0.22,0.34,0.13,0.38,0.2,0.21,0.27,0.21,0.16,0.11,0.18,0.23,0.16,0.17,0.14,0.25,0.16,0.09,0.12,0.06,,0.21,0.17,,0.07,0.05,0.11,0.15,0.08,0.09,,0.1,0.09,0.09,0.14,0.26,0.2,0.41,0.22,0.15,0.15,0.17,0.1,0.07,0.07,0.13,0.1,0.03,0.05,0.31,0.31,,,0.31,0.09,0.05,0.07,0.12,0.33,0.14,0.19,0.05,0.22,0.32,0.03,0.11,0.08,0.25,0.1,0.42,0.05,0.27,0.09,0.08,0.33,0.13,0.1,0.04,0.06,0.24,0.12,0.17,0.14,0.21,0.11,0.18,0.1,0.07,0.09,0.03,0.09,0.14,0.03,0.14,0.06,0.13,0.35,0.15,,0.33,,,,,,,0.36,,0.4,0.33,0.38,0.11,0.57,0.1,1.34,0.36,0.61,,0.26,0.4,1.01,0.3,0.86,0.23,0.59,0.89,0.2,1.19,0.91,0.13,0.42,,,0.34,,,,0.15,0.28,0.18,0.07,0.52,0.14,0.5,,,,0.06,,,,,,,,0.1,,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
